三ノ宮,新神戸,学院前,ｷｬﾝﾊﾟｽ前
7:25,7:30,8:30,→
7:55,8:00,8:42,8:44
8:10,8:15,9:15,→
8:40,8:45,9:37,→
9:00,9:05,10:05,→
9:30,9:35,10:27,→
9:50,9:55,10:37,10:39
9:50,9:55,10:47,→
10:00,10:05,11:05,11:06
10:40,10:45,11:38,→
11:00,11:05,12:06,→
11:50,11:55,12:56,→
12:10,12:15,12:57,12:59
12:50,12:55,13:56,→
13:50,13:55,14:56,→
14:50,14:55,15:56,→
15:50,15:55,16:56,→
17:00,17:05,18:07,→
17:30,17:35,18:37,→
17:45,17:50,18:52,→
18:00,18:05,19:07,→
18:45,18:50,19:52,→
19:00,19:05,20:07,→
19:30,19:35,20:36,→
20:00,20:05,21:06,→
20:15,20:20,21:20,→
20:30,20:35,21:35,→
21:00,21:05,22:05,→
21:20,21:25,22:25,→
21:40,21:45,22:45,→
22:00,22:05,23:05,→
22:20,22:25,23:25,→
23:00,23:05,0:05,→
