系統,ｷｬﾝﾊﾟｽ前,学院前,3丁目,新三田駅
48,→,5:46,5:47,6:06
46快速,→,6:12,6:13,6:28
46快速,→,6:29,6:30,6:45
46快速,→,6:41,6:42,6:58
11準急,→,6:57,6:58,7:12
46快速,→,7:00,7:01,7:17
46快速,→,7:23,7:24,7:41
46快速,→,7:44,7:45,8:02
55準急,7:47,7:49,7:50,8:09
46快速,→,8:02,8:03,8:20
11準急,→,8:02,8:03,8:17
55準急,8:13,8:15,8:16,8:35
46快速,→,8:21,8:22,8:39
46快速,→,8:33,8:34,8:51
55準急,8:41,8:43,8:44,9:03
46快速,→,9:01,9:02,9:19
48,→,9:32,9:33,9:51
48,→,9:59,10:00,10:18
11準急,→,10:05,10:06,10:20
55準急,10:24,10:26,10:27,10:46
45,→,10:19,10:20,10:41
48,→,10:29,10:30,10:48
48,→,10:59,11:00,11:18
45,→,11:19,11:20,11:41
48,→,11:29,11:30,11:48
48,→,11:59,12:00,12:18
11準急,→,12:05,12:06,12:20
48,→,12:29,12:30,12:48
45,→,12:49,12:50,13:11
48,→,12:59,13:00,13:18
55準急,13:24,13:26,13:27,13:46
48,→,13:29,13:30,13:48
45,→,13:49,13:50,14:11
48,→,13:59,14:00,14:18
48,→,14:29,14:30,14:48
45,→,14:49,14:50,15:11
11準急,→,15:00,15:01,15:15
46快速,→,15:01,15:02,15:19
46急行▼,15:04,15:05,15:06,15:19
46急行▼,15:11,15:12,15:13,15:26
46急行▼,15:25,15:26,15:27,15:40
46快速,→,15:31,15:32,15:49
46快速,→,15:46,15:47,16:04
45,→,15:48,15:49,16:10
46快速,→,16:01,16:02,16:19
46快速,→,16:08,16:09,16:26
46快速,→,16:29,16:30,16:47
46急行▼,16:42,16:43,16:44,16:57
46快速▼,→,16:40,16:41,16:58
46急行▼,16:48,16:49,16:50,17:03
46快速,→,16:46,16:47,17:04
46急行▼,16:52,16:53,16:54,17:07
45,→,16:56,16:57,17:18
46快速,→,17:00,17:01,17:18
46急行▼,17:03,17:04,17:05,17:18
46快速,→,17:12,17:13,17:30
48,→,17:28,17:29,17:47
46快速,→,17:40,17:41,17:58
46快速,→,17:59,18:00,18:17
46急行▼,18:11,18:12,18:13,18:26
46快速,→,18:16,18:17,18:34
46快速▼,→,18:20,18:21,18:38
11準急,→,18:24,18:25,18:39
46急行▼,18:26,18:27,18:28,18:41
46快速,→,18:29,18:30,18:47
46急行▼,18:33,18:34,18:35,18:48
48,→,18:46,18:47,19:05
46快速,→,18:56,18:57,19:14
48,→,19:14,19:15,19:33
11準急,→,19:27,19:28,19:42
48,→,19:44,19:45,20:03
48,→,20:09,20:10,20:28
48,→,20:45,20:46,21:04
48,→,21:18,21:19,21:37
48,→,21:46,21:47,22:05
48,→,22:10,22:11,22:29
46快速,→,23:11,23:12,23:27
